string_id,context,ko,en,ja,zh-Hans,zh-Hant,es,fr,de,pt-BR,notes,status
status.draft,meta,기록 중,Recording,記録中,记录中,記錄中,En registro,En cours,In Aufzeichnung,Em registro,common string,localized_draft
status.planned,meta,곧 열림,Opening Soon,近日公開,即将开启,即將開啟,Próximamente,Bientôt ouvert,Öffnet bald,Em breve,common string,localized_draft
term.aidong,meta,아이동,Aidong,アイドン,爱动,愛動,Aidong,Aidong,Aidong,Aidong,common string,localized_draft
status.needs_merge,,정리 중,,,,,,,,,,
p00_01.title,lore,IDONG WORLD 월드북,,,,,,,,,wb_v1,ko_draft
p00_01.category,lore,세계관,,,,,,,,,wb_v1,ko_draft
p00_01.nav_label,lore,IDONG WORLD 월드북,,,,,,,,,wb_v1,ko_draft
p00_01.body.01,lore,"회색으로 잠든 마음의 섬이, 누군가 알아봐 줄 때마다 한 구역씩 색을 되찾는다.",,,,,,,,,wb_v1,ko_draft
p00_01.body.02,lore,"여기는 반짝섬. 무대 위에서 빛나는 누군가의 이야기가 아니라, 무대 뒤에서 조용히 제자리를 지켜온 *진정한 나*가 사는 섬의 이야기다. 이 책은 그 섬을 설명하려고 만든 지도가 아니라, 천천히 걸어 다니라고 펼쳐 둔 산책로다. 원하는 곳부터 들어와도 좋다. 등대에서 시작해도 좋고, 숙소의 빨랫줄 앞에서 시작해도 좋다.",,,,,,,,,wb_v1,ko_draft
p00_01.quote.01,lore,한 줄의 세계: 진정한 나 + 아이동 + 15개 마음 구역 + 함께 보낸 기록 → 색을 되찾는 반짝섬,,,,,,,,,wb_v1,ko_draft
p00_02.title,lore,이 책을 읽는 법,,,,,,,,,wb_v1,ko_draft
p00_02.category,lore,세계관,,,,,,,,,wb_v1,ko_draft
p00_02.nav_label,lore,이 책을 읽는 법,,,,,,,,,wb_v1,ko_draft
p00_02.body.01,lore,"이 책에는 순서가 있지만, 순서를 지킬 의무는 없다. 각 장은 하나의 문을 열고, 그 안에 작은 방들이 이어져 있다. 방과 방 사이는 책장을 넘기듯 이전과 다음으로 이어지고, 마음이 당기면 관련 항목을 눌러 다른 장으로 건너뛸 수도 있다.",,,,,,,,,wb_v1,ko_draft
p00_02.body.02,lore,"읽다가 어떤 장소가 마음에 남으면, 거기서 멈춰도 된다. 이 책은 다 읽어야 하는 시험지가 아니라, 다시 펼칠 때마다 다른 구석이 보이는 그림책에 가깝다. 침대에서 읽어도 즐겁고, 무언가를 만들다가 찾아 펼쳐도 쓸모 있도록 썼다.",,,,,,,,,wb_v1,ko_draft
p00_02.body.03,lore,"한 가지만 기억하면 된다. 이 섬에서 일어나는 가장 큰 사건은, 회색이던 한 칸에 색이 한 점 돌아오는 일이다.",,,,,,,,,wb_v1,ko_draft
p00_03.title,lore,세계의 첫 문장,,,,,,,,,wb_v1,ko_draft
p00_03.category,lore,세계관,,,,,,,,,wb_v1,ko_draft
p00_03.nav_label,lore,세계의 첫 문장,,,,,,,,,wb_v1,ko_draft
p00_03.body.01,lore,"회색섬은 처음부터 회색이었던 것이 아니다. 색을 가지고 있었지만, 아무도, 심지어 자기 자신조차 그 색을 들여다보지 않아서, 천천히 빛을 잊었을 뿐이다.",,,,,,,,,wb_v1,ko_draft
p00_03.body.02,lore,"그래서 이 섬의 이야기는 발견의 이야기가 아니라 **다시 알아봄**의 이야기다. 한 번도 떠난 적 없는 풍경이, 누군가의 눈길이 닿는 순간 ""아, 여기 있었지"" 하고 색을 켠다. 이 책의 모든 장소와 생물과 사건은 그 한 문장의 변주다.",,,,,,,,,wb_v1,ko_draft
p00_03.quote.01,lore,"회색으로 잠든 마음의 섬은, 아이동과 함께 보낸 기록을 통해 한 구역씩 색을 되찾는다. 그 섬의 정식 이름은 마이섬이고, 사람들이 다정하게 부르는 이름은 반짝섬이다.",,,,,,,,,wb_v1,ko_draft
p00_04.title,lore,정본과 자료의 층위,,,,,,,,,wb_v1,ko_draft
p00_04.category,lore,세계관,,,,,,,,,wb_v1,ko_draft
p00_04.nav_label,lore,정본과 자료의 층위,,,,,,,,,wb_v1,ko_draft
p00_04.body.01,lore,이 월드북은 여러 겹의 자료 위에 서 있다. 서로 어긋날 때는 아래 순서로 판단한다.,,,,,,,,,wb_v1,ko_draft
p00_04.body.02,lore,"원칙: 이 책은 게임을 설명하는 매뉴얼이 아니라, **게임이 태어난 원천 세계의 설정집**이다. 그래서 모든 문장은 ""게임에서 이건 이렇게 작동한다""가 아니라 ""이 섬에는 이런 곳이 있고, 이런 일이 일어난다""로 적는다.",,,,,,,,,wb_v1,ko_draft
p00_04.data.01.title,lore,정본과 자료의 층위,,,,,,,,,wb_v1,ko_draft
p00_04.data.01.row.01.label,lore,1,,,,,,,,,wb_v1,ko_draft
p00_04.data.01.row.01.value,lore,반짝섬 자료집(최신 정본): 총론·역사·빛·자원·동물·지도·구역집,,,,,,,,,wb_v1,ko_draft
p00_04.data.01.row.02.label,lore,2,,,,,,,,,wb_v1,ko_draft
p00_04.data.01.row.02.value,lore,정서적 유래 확인 문서: 회색섬/반짝섬의 감정 원형,,,,,,,,,wb_v1,ko_draft
p00_04.data.01.row.03.label,lore,3,,,,,,,,,wb_v1,ko_draft
p00_04.data.01.row.03.value,lore,구역별 단일 진실원(SSOT): 빛·자원·동물·지도,,,,,,,,,wb_v1,ko_draft
p00_04.data.01.row.04.label,lore,4,,,,,,,,,wb_v1,ko_draft
p00_04.data.01.row.04.value,lore,구 로어북 목차와 페이지 인벤토리,,,,,,,,,wb_v1,ko_draft
p00_04.data.01.row.05.label,lore,5,,,,,,,,,wb_v1,ko_draft
p00_04.data.01.row.05.value,lore,웹 프로토타입 데이터,,,,,,,,,wb_v1,ko_draft
p00_05.title,lore,세 이름: 회색섬 · 마이섬 · 반짝섬,,,,,,,,,wb_v1,ko_draft
p00_05.category,lore,세계관,,,,,,,,,wb_v1,ko_draft
p00_05.nav_label,lore,세 이름: 회색섬 · 마이섬 · 반짝섬,,,,,,,,,wb_v1,ko_draft
p00_05.body.01,lore,같은 섬을 부르는 세 이름이다. 시간과 상태에 따라 이름이 바뀐다.,,,,,,,,,wb_v1,ko_draft
p00_05.body.02,lore,"지도에 적힌 정식 이름은 마이섬, 사람들이 떠올리며 부르는 이름은 반짝섬이다. 회색섬은 그 섬의 어제이자, 매일 아침 다시 깨어나야 할 출발점이다. (옛 이름 *하트섬*은 지금은 검색용 별칭으로만 남는다.)",,,,,,,,,wb_v1,ko_draft
p00_05.data.01.title,lore,세 이름: 회색섬 · 마이섬 · 반짝섬,,,,,,,,,wb_v1,ko_draft
p00_05.data.01.row.01.label,lore,**회색섬**,,,,,,,,,wb_v1,ko_draft
p00_05.data.01.row.01.value,lore,아무도 봐주지 않던 시절 · 색을 잊은 채 잠든 상태. 등대만 홀로 불을 켜고 있었다.,,,,,,,,,wb_v1,ko_draft
p00_05.data.01.row.02.label,lore,**마이섬**,,,,,,,,,wb_v1,ko_draft
p00_05.data.01.row.02.value,lore,"첫 아이동을 만나 숙소를 세우고 이름을 붙인 뒤 · ""내가 돌보기로 한 섬"". 명명절에 얻은 정식 이름.",,,,,,,,,wb_v1,ko_draft
p00_05.data.01.row.03.label,lore,**반짝섬**,,,,,,,,,wb_v1,ko_draft
p00_05.data.01.row.03.value,lore,구역들이 색을 되찾고 반짝 산이 처음 빛난 뒤 · 다시 반짝일 수 있음을 모두가 안 뒤 붙은 다정한 별명.,,,,,,,,,wb_v1,ko_draft
p00_06.title,lore,웹에서 건너가는 법,,,,,,,,,wb_v1,ko_draft
p00_06.category,lore,세계관,,,,,,,,,wb_v1,ko_draft
p00_06.nav_label,lore,웹에서 건너가는 법,,,,,,,,,wb_v1,ko_draft
p00_06.body.01,lore,"이 책의 페이지는 세 종류다. 전체 목차가 되는 **표지**, 각 장의 문을 여는 **장 서문**, 그리고 실제 이야기가 담긴 **단일 페이지**.",,,,,,,,,wb_v1,ko_draft
p00_06.body.02,lore,"단일 페이지 아래에는 언제나 *이전 · 상위 · 다음*이 있다. 이전과 다음은 같은 장 안에서 책장을 넘기는 순서이고, 상위는 지금 장의 서문으로 돌아가는 문이다. 그 옆에는 **관련 항목**이 있다. 책장 넘김과는 다른, 의미로 이어진 지름길이다. 예를 들어 '일곱 절기'에서 '감정의 파도 항구'로, '꿈일기'에서 '나의 바인더'로 건너뛸 수 있다.",,,,,,,,,wb_v1,ko_draft
p00_06.body.03,lore,"즉 이 책은 앞에서 뒤로도 읽히고, 마음이 이끄는 대로 옆으로도 읽힌다.",,,,,,,,,wb_v1,ko_draft
p00_07.title,lore,그림과 기록의 약속,,,,,,,,,wb_v1,ko_draft
p00_07.category,lore,세계관,,,,,,,,,wb_v1,ko_draft
p00_07.nav_label,lore,그림과 기록의 약속,,,,,,,,,wb_v1,ko_draft
p00_07.body.01,lore,이 섬을 그릴 때 지키는 약속이 있다.,,,,,,,,,wb_v1,ko_draft
p00_07.body.02,lore,"가장 강한 장면은 언제나 **전후 대비**다. 같은 풍경의 회색 버전과 반짝 버전을 나란히 두는 것, 그것이 이 세계의 핵심 시각 언어다. 빛은 폭죽이 아니라, 창문에 켜진 불 하나, 풀섶의 빛벌레 한 마리, 수면의 윤슬 한 줄처럼 **소박하게** 그린다. 컷마다 큰 반짝보다 작은 반짝을 먼저 둔다.",,,,,,,,,wb_v1,ko_draft
p00_07.body.03,lore,"그리고 이 섬에는 실제 인물의 이름도, 얼굴도, 소속사도 오지 않는다. 옮겨 오는 것은 오직 기억된 상징과 기질뿐이다. 그것이 동물 페르소나로 다시 태어나 여기에 산다.",,,,,,,,,wb_v1,ko_draft
p00_08.title,lore,앞으로 열릴 기록,,,,,,,,,wb_v1,ko_draft
p00_08.category,lore,세계관,,,,,,,,,wb_v1,ko_draft
p00_08.nav_label,lore,앞으로 열릴 기록,,,,,,,,,wb_v1,ko_draft
p00_08.body.01,lore,"이 책은 완성된 백과가 아니라, 계속 자라는 기록이다. 15구역은 늘어나지 않지만, 그 안에 깃드는 아이동의 흔적과 매일 조금씩 달라지는 풍경은 끝없이 늘어난다.",,,,,,,,,wb_v1,ko_draft
p00_08.body.02,lore,"아직 이름 붙지 않은 자리도 많다. 어떤 소구역은 카드 한 장으로만 남아 있고, 어떤 기념물은 그림보다 문장이 먼저 도착해 있다. 그런 미완의 자리는 감추지 않고 ""앞으로 열릴 기록""으로 표시해 둔다. 비어 있음도 이 섬의 시간이기 때문이다.",,,,,,,,,wb_v1,ko_draft
p00_08.quote.01,lore,다음 장: [1장. 회색섬에서 반짝섬으로]. 세계가 어떻게 시작되었는지.,,,,,,,,,wb_v1,ko_draft
p00_08.body.03,lore,*(0장 초안 끝. 1~8장은 자료집 총론·역사·빛·구역집을 받아 같은 톤으로 이어 집필.)*,,,,,,,,,wb_v1,ko_draft
s01_index.title,lore,회색섬에서 반짝섬으로,,,,,,,,,wb_v1,ko_draft
s01_index.category,lore,세계관/도입,,,,,,,,,wb_v1,ko_draft
s01_index.nav_label,lore,회색섬에서 반짝섬으로,,,,,,,,,wb_v1,ko_draft
s01_index.summary.01,lore,"이 섬이 어떻게 잠들었고, 어떻게 다시 깨어났는지를 따라가는 장.",,,,,,,,,wb_v1,ko_draft
s01_index.body.01,lore,"이 장은 섬의 시작을 다룬다. 회색으로 잠들기 전, 첫 바람이 불어오던 날, 이름을 얻던 순간, 그리고 오늘 아침 반짝이는 자리 하나까지. 섬의 역사는 비장하지 않다. 색이 꺼졌다가 다시 켜진 기록일 뿐이다.",,,,,,,,,wb_v1,ko_draft
s01_index.body.02,lore,하위 항목: p01_01 현실의 방 → p01_02 바다와 조각배 → p01_03 첫 바람과 첫 아이동의 기척 → p01_04 회색섬 상륙 → p01_05 숙소 재건 → p01_06 이름 붙이기: 마이섬 → p01_07 섬의 일곱 절기 → p01_08 빛이 번지는 계절 → p01_09 반짝의 날 → p01_10 오늘의 반짝 지점 → p01_11 부재가 남기는 노을빛 → p01_12 하트섬이라는 오래된 이름,,,,,,,,,wb_v1,ko_draft
p01_01.title,lore,현실의 방,,,,,,,,,wb_v1,ko_draft
p01_01.category,lore,세계관/도입,,,,,,,,,wb_v1,ko_draft
p01_01.nav_label,lore,현실의 방,,,,,,,,,wb_v1,ko_draft
p01_01.summary.01,lore,"섬이 시작되기 전, 사용자가 머물던 방. 섬과 현실의 경계를 그리는 첫 문.",,,,,,,,,wb_v1,ko_draft
p01_01.body.01,lore,"밖은 어떤 소리였는지 정확히 기억나지 않는다. 아마 버스 지나가는 소리, 아니면 윗집 발소리, 혹은 아무것도 아닌 정적. 창문 너머 하늘은 물기를 머금은 회색이었고, 책상 위에는 뭔가를 하려다 멈춘 흔적들이 쌓여 있었다.",,,,,,,,,wb_v1,ko_draft
p01_01.body.02,lore,"그 방은 비어 있지 않았지만, 어딘가 공허했다. 할 일 목록은 길었고, 하고 싶은 일은 흐릿했다. 오늘이 며칠인지는 알았지만, 오늘이 어떤 날인지는 몰랐다. 그런 날들이 켜켜이 쌓이면, 방도 마음도 조금씩 회색을 닮아 간다.",,,,,,,,,wb_v1,ko_draft
p01_01.body.03,lore,"그 방에서 문을 하나 열었다. 어떤 문인지는 각자 다르다. 노래 한 소절이었을 수도 있고, 스쳐 지나간 영상 한 컷, 혹은 누군가 ""이 섬에 가보지 않을래?"" 하고 건넨 말 한마디. 문은 요란하게 열리지 않았다. 그냥 바람이 조금 바뀌었을 뿐이다.",,,,,,,,,wb_v1,ko_draft
p01_01.body.04,lore,그 바람이 어디서 왔는지는 이 장 끝에 가면 알게 된다.,,,,,,,,,wb_v1,ko_draft
p01_01.quote.01,lore,"오래 돌보지 못한 공간은 회색이 된다. 마음도, 섬도.",,,,,,,,,wb_v1,ko_draft
p01_02.title,lore,바다와 조각배,,,,,,,,,wb_v1,ko_draft
p01_02.category,lore,세계관/도입,,,,,,,,,wb_v1,ko_draft
p01_02.nav_label,lore,바다와 조각배,,,,,,,,,wb_v1,ko_draft
p01_02.summary.01,lore,"현실의 방에서 섬으로 건너오는 통로, 바다와 작은 배의 풍경.",,,,,,,,,wb_v1,ko_draft
p01_02.body.01,lore,"수평선은 처음 보면 끝처럼 생겼다. 그러나 수평선은 끝이 아니라 경계선이다. 이쪽과 저쪽, 지금의 나와 아직 가지 않은 나 사이에 그어진 가는 줄.",,,,,,,,,wb_v1,ko_draft
p01_02.body.02,lore,"조각배는 크지 않다. 두세 사람이 타면 꽉 차고, 화물칸은 없다. 있는 건 노 하나, 빛이 잘 드는 좌석 하나, 그리고 발밑에 잔잔히 부딪히는 파도 소리. 배는 어디서 왔는지 알 수 없다. 부두 끝에 어느 날 와 있었는데, 이 배를 타면 어디로 가는지는 탄 뒤에야 알게 된다고 했다. 두려운 일이지만, 이상하게 두렵지 않았다. 배 위에 앉으면 발끝이 바닷물에 닿을 것 같고, 그 차가움이 오히려 정신을 깨웠다.",,,,,,,,,wb_v1,ko_draft
p01_02.body.03,lore,"항해는 길지 않다. 파도가 세 번쯤 넘어갈 때, 안개 너머로 윤곽이 드러난다. 회색이다. 처음엔 구름인가 싶다가, 나무인가 싶다가, 그다음에야 섬이라는 걸 안다. 등대가 먼저 보인다. 불이 켜져 있었다. 아무도 없는 것 같은데 불이 켜져 있다. 그게 이 섬의 첫인상이었다.",,,,,,,,,wb_v1,ko_draft
p01_02.quote.01,lore,수평선은 끝이 아니다. 건너편이 있다는 표시다.,,,,,,,,,wb_v1,ko_draft
p01_03.title,lore,첫 바람과 첫 아이동의 기척,,,,,,,,,wb_v1,ko_draft
p01_03.category,lore,세계관/역사,,,,,,,,,wb_v1,ko_draft
p01_03.nav_label,lore,첫 바람과 첫 아이동의 기척,,,,,,,,,wb_v1,ko_draft
p01_03.summary.01,lore,조각배가 나타나기 전부터 섬에 변화가 시작된 작은 신호들.,,,,,,,,,wb_v1,ko_draft
p01_03.body.01,lore,"상륙 전날 밤, 섬에서는 이미 몇 가지 일이 일어났다. 아무도 없는 것처럼 보였던 회색섬에 아주 작은 기척이 깃들기 시작한 것이다. 그 변화를 순서대로 기억하는 사람은 없다. 다만 등대지기가 있었다면 아마 이렇게 기록했을 것이다.",,,,,,,,,wb_v1,ko_draft
p01_03.quote.01,lore,기척은 언제나 도착 전에 온다.,,,,,,,,,wb_v1,ko_draft
p01_03.time.01.title,lore,첫 바람과 첫 아이동의 기척,,,,,,,,,wb_v1,ko_draft
p01_03.time.01.item.01.label,lore,첫째 신호: 바람의 방향이 바뀐 날,,,,,,,,,wb_v1,ko_draft
p01_03.time.01.item.01.text,lore,"섬을 감싸던 바람이 하루 동안 방향을 바꾸었다. 늘 안쪽을 향하던 바람이 한 번 바깥을 보았다. 수평선 쪽에서 낯선 냄새가 왔다. 소금기 아래에 묻힌, 설명하기 어려운 온기.",,,,,,,,,wb_v1,ko_draft
p01_03.time.01.item.02.label,lore,둘째 신호: 항구 밧줄이 팽팽해진 날,,,,,,,,,wb_v1,ko_draft
p01_03.time.01.item.02.text,lore,"감정의 파도 항구 선착장에서 밧줄 하나가 이유 없이 팽팽해졌다. 묶인 배도, 닿아야 할 손도 없는데. 오래 축 늘어져 있던 밧줄이 어떤 기대감처럼 긴장을 되찾았다.",,,,,,,,,wb_v1,ko_draft
p01_03.time.01.item.03.label,lore,셋째 신호: 풀섶의 빛벌레,,,,,,,,,wb_v1,ko_draft
p01_03.time.01.item.03.text,lore,"회색의 긴 잠 동안 한 번도 깨어나지 않던 빛벌레 한 마리가, 등대 앞 풀섶에서 깜빡였다. 한 번만. 그러나 그 한 번이 이 섬에서 오랜만에 일어난 가장 작은 반짝이었다.",,,,,,,,,wb_v1,ko_draft
p01_03.time.01.item.04.label,lore,넷째 신호: 조각배의 출현,,,,,,,,,wb_v1,ko_draft
p01_03.time.01.item.04.text,lore,"다음 날 새벽, 부두 끝에 배가 와 있었다. 아무도 묶지 않았는데 떠내려가지 않았다. 노 하나, 빛이 드는 좌석 하나. 준비된 것처럼 조용히 기다리고 있었다.",,,,,,,,,wb_v1,ko_draft
p01_04.title,lore,회색섬 상륙,,,,,,,,,wb_v1,ko_draft
p01_04.category,lore,세계관/역사,,,,,,,,,wb_v1,ko_draft
p01_04.nav_label,lore,회색섬 상륙,,,,,,,,,wb_v1,ko_draft
p01_04.summary.01,lore,"첫 발걸음이 닿은 날, 회색섬에 처음 색 한 점이 돌아온 순간.",,,,,,,,,wb_v1,ko_draft
p01_04.body.01,lore,"발이 먼저 안다. 나무 부두판 위에 내려섰을 때의 그 질감, 발밑에서 삐걱이는 소리. 항구는 조용했다. 물결 소리, 밧줄 끝에서 나는 작은 마찰음, 그리고 저 멀리 등대 불이 일정한 간격으로 깜빡이는 것.",,,,,,,,,wb_v1,ko_draft
