item_id,web_name,category,tags,aidong_tags,object_name,ipa,description
ICON-0011,우표,문구,소장템,포근들소|마토깃토끼|센터실루냥|정현댕|꽃미냥|하모니치타|포근청량돼지|별빛멍|비트사슴|쪼꼬코알라|햇살볼|스텝여우,표,pʰjo,"한 귀퉁이에 침을 발라 꾹 붙이던 작은 그림. 멀리 보내는 마음에 매기는, 가장 정직한 값이다. 네모난 풍경 한 장이 바다 건너까지 편지의 손을 잡고 간다."
ICON-0012,깃발핀,공연,소장템,황제펭|숨결곰|또렷막내토끼|사슴왕자|인사사슴|청음멍|느린스텝늘보|동선멍|샤인다람|캡틴가시|리더멍|폭스디여우,핀,pʰin,"지도 위에 콕 꽂으면 '나 여기까지 왔어'가 된다. 정복이 아니라 기록이고, 다음에 올 누군가를 향한 응원이다. 이 깃발 보고 한 걸음만 더, 하고 말없이 등을 미는 표식."
ICON-0013,나뭇가지,자원,소장템|자연물,막내보컬멍|도시여우|숨결토끼|예왕쿼카|스텝범|브리즈수달|별빛햄찌|소리오리|온기냥|치즈깃냥|모카잔|인사식냥,나뭇가지,namutɡadʑi,"한 번 휘어 본 가지는 부러지는 법을 잊는다. 바람 앞에 굽었던 자리마다 옹이가 단단히 박히고, 진짜 단단함은 잘 견뎌 낸 흔적에서 온다고, 오래된 숲이 바람결에 일러 준다."
ICON-0014,단추,패션,소장템,루미돼지|별꼬리여우|안부토끼|사슴왕자|글로우늑대|꿀성햄찌|별빛토끼|단정다람|비트다람|모티프노루|스윙노루|인사식토끼,단추,tantɕʰu,"풀렸다 다시 채워지길 반복하며 옷깃을 여민다. 작은 원 하나가 새벽 추위도, 문득 든 부끄러움도 가만히 막아 준다. 톡 떨어져 봐야, 그제야 그 자리가 컸음을 안다."
ICON-0015,봉투,문구,소장템|수납|봉투,봄날멍|막내공룡|책곰|폭스멍|글램뱀|밤결냥|스파크냥|소리햄|까칠토끼|말티왕자멍|런웨이냥|프레임토끼,봉투,poŋtʰu,"입을 봉하는 순간, 비로소 비밀이 된다. 안에 무엇이 담겼는지는 오직 받는 이만 안다. 종이 한 겹이 마음과 세상 사이에 놓이는, 가장 얇고 다정한 문 하나."
ICON-0016,상자,문구,소장템|용기|상자,삐욘병아리|브리즈멍|청량늑대|겨울볕|글로우늑대|졸린개굴|드럼범|그루브멍|스텝오리|숨결다람|꼬마호랑이|삐죽오리,자,tɕa,"네 귀가 반듯해서 무엇이든 너그럽게 품는다. 이사철엔 추억을, 명절엔 선물을, 평소엔 잡동사니를. 닫힌 뚜껑 안쪽은 늘 누군가의 '나중에'로 가득 차 있다."
ICON-0017,손잡이,공예시설,소장템,신사코알라|스윙멍|또렷막내토끼|폭스모래여우|기타개굴|시카고냥|안정곰|그늘냥|온기여우|크루리듬멍|콩알볼|햄일햄찌,손잡이,sondʑabi,"문과 사람 사이에서, 가장 먼저 손을 내미는 물건. 한 번 잡아당겨야 비로소 안과 밖이 이어진다. 들어가고 나가는 모든 결심은, 차가운 이 손을 한 번 쥐었다 간다."
ICON-0018,스푼,자원,소장템|도구|스푼,막내가시|사과멍|미소볼|곰솜|드래곤빈|글로우곰|온기릴라|스마트여우|삐약|젤리보물토끼|집사냥|티요넨토끼,스푼,sɯpʰun,"오목한 입으로 따뜻한 국물을 가만히 떠 올린다. 어머니가 후후 식혀 먼저 건네던 한 술의 온기를 기억하는 도구. 밥상에서 가장 자주 입에 닿는, 가장 다정한 손이다."
ICON-0019,슬리퍼,패션,소장템,막내가시|솔빛멍|분홍볼|무술냥|벚꽃솔|청음토끼|안래빗|막내스텝다람|청량병아리|숨결냥|소프트토끼|대장늑대,슬리퍼,sɯlɾipʰʌ,"문턱을 넘는 순간, 발이 먼저 한숨 돌린다. 또각이던 하루를 벗고 자박자박 걷는 저녁의 소리. 현관에 가지런히 놓인 한 켤레가, '이제 집이야' 하고 말해 준다."
ICON-0020,열쇠,공예시설,소장템,검은스텝냥|소프트여우|여우|연기여우|배우멍|비트너굴|별빛토끼|작곡멍|리더코알라|스팟사슴|비트병아리|반전멍,열쇠,jʌlsø,"잠그는 법보다 여는 법을 먼저 배운다. 손바닥 안에서 데워지다, 어느 날 낯선 새 문 앞에 가만히 멈추는 작은 쇠붙이. 떠나는 이의 온기를 가장 오래 간직하는 물건."
ICON-0021,잔,생활,소장템,밝은보컬멍|캡틴퓨마|건반토끼|햇살펭|성벽곰|민첩냥|승협멍|텐션토끼|브리즈양|고음사슴|단풍볼|삐죽오리,잔,tɕan,"비어 있을 땐 단정하고, 채워질 땐 더없이 따뜻하다. 마주 든 둘이 쨍 부딪치는 맑은 소리에, 말없는 약속이 담긴다. 혼자보다 둘일 때 빛나려고 태어난 그릇."
ICON-0022,접시,음식,소장템|주방도구|용기|접시,홍당멍|호랑|날카여우|숨결냥|위트돌핀|발끝프로토냥|그늘냥|숨결렉스|샤인노루|잰더냥|시선냥,접시,tɕʌpsi,"둥근 테두리 안에 하루치 정성이 가득 담긴다. 비우고 닦고 다시 채우길 평생—가장 자주 빛나고, 가장 자주 잊히는 살림. 식탁의 무대는 늘 이 위에 차려진다."
ICON-0023,조명,생활,소장템,신사코알라|렌즈곰|갈색곰|단정펭귄|댄디독|보컬결멍|어니부기|스마트여우|스윙냥|잠만냥|모카잔|환영멍,조명,tɕomjʌŋ,"스위치 하나에 방의 표정이 바뀐다. 환하면 일상이고, 은은하면 위로다. 늦게 든 누군가를 위해 끝까지 켜둔 한 점의 빛이, 세상에서 가장 따뜻한 마중이 된다."
ICON-0024,찻숟갈,자원,소장템|도구|숟가락,래빗|포근늑대|보컬폭스|비트멍|장면저장냥|단정멍|왕자토끼|스마트여우|포근토끼|멜로펭귄|도약늑대|비트호랑,찻숟갈,tɕʰatsutɡal,"찻물 위를 한 바퀴 천천히 돌면, 잎과 물이 서로에게 스며든다. 급할 것 없는 손놀림, 향이 번질 때까지의 작은 기다림. 은빛 손 하나가 오후의 속도를 다정히 늦춘다."
ICON-0025,책갈피,문구,소장템,불독리더|별꼬리여우|또렷막내토끼|소프트냥|배우멍|근육곰|안래빗|포근멍|막내여우|글로우여우|소프트늑대|대장늑대,책갈피,tɕʰɛkɡalpʰi,"읽다 만 자리에 가만히 끼워 두는 약속. '여기서 멈췄으니 꼭 돌아올게' 하는 다짐이 종이 사이에 잠든다. 이야기는 닫혀도, 마음은 그 한 줄에 또렷이 표시되어 있다."
ICON-0026,쿠션,생활,소장템,흰묘|숨결곰|황금멍|폭스멍|무지개곰|보컬삐약|인사다람|웨이브멍|온기중심멍|꿀주머니|또렷다람|브이토끼,쿠션,kʰusjʌn,"기댈 곳이 필요한 등과 무릎을, 말없이 받아 준다. 푹 꺼졌다 천천히 부풀며 오늘 하루의 피로를 빨아들인다. 가장 게으른 자세를, 가장 너그럽게 허락해 주는 물건."
ICON-0027,프레임,공예시설,소장템,코지멍|창문깜냥|비주얼곰|카리스마독수리|다채멍|꿀성햄찌|포근라마|고음돌고래|모티프여우|별빛사막여우|런웨이여우|브이토끼,프레임,pʰɯɾeim,"네모난 테두리가 풍경 하나를 영원으로 묶는다. 그 안에 들어온 순간만큼은, 시간이 지나도 바래지 않는다. 무엇을 담느냐보다, 무엇을 남기기로 했느냐의 다정한 선택."
ICON-0028,지도,야외,소장템,흰묘|선택호랑|배려멍|폭신멍|브리즈여우|위트토끼|포근청량돼지|고음돌고래|라이언|잠만코알라|런웨이다람|모티프치타,지도,tɕido,"접힌 자국마다 길을 잃었다 다시 찾은 흔적이 배어 있다. 펼치면 가본 적 없는 곳도 손끝으로 먼저 걸어 볼 수 있다. 모든 모험은, 이 한 장을 펴는 작은 용기에서 출발한다."
ICON-0029,엽서,문구,소장템,달빛냥|랩시선냥|별빛냥|무술냥|구구광|위트토끼|숨결막내멍|밀리쥐|청량병아리|프레임사슴|유영해파리|햄일햄찌,엽서,jʌpsʌ,"뒷면 절반은 사진, 절반은 빈칸. 멀리 떠난 이가 '잘 지내' 다섯 글자에 그곳의 풍경을 곁들여 보낸다. 봉투 없이도 안부가 부끄럽지 않은, 가장 솔직한 종이 한 장."
ICON-0030,출입증,문구,소장템,두부물개|홍당멍|보컬캣|달빛노루|기타개굴|보컬결곰|안래빗|호흡햄찌|청량멍|시크돌핀|첫물수달|루미멍,출입증,tɕʰulipdʑɯŋ,"목에 거는 순간, 비로소 안쪽 세계로 들어선다. 작은 카드에 적힌 내 이름이 '여기, 네 자리야' 하고 가만히 허락한다. 통과의 자격이 아니라, 어딘가에 속했다는 증표다."
ICON-0031,알파벳B,문구,소장템,루미범|패션냥|청량늑대|발랄여우|왕관냥|소프트병아리|멜로모래여우|밀리쥐|라이언|곱슬펭|글로우멍|청량냥,알파벳B,alpʰabet,"단어 한가운데서 가장 자주 불려 나오는 글자. 입술을 한 번 다물었다 톡 터뜨려야 비로소 소리가 난다. 시작도 끝도 아니지만, 박자를 잡아 주는 든든한 둘째 자리."
ICON-0032,명함,문구,소장템,루미돼지|캣라인|청량늑대|도토리볕|호흡사막여우|꿈삐약|숨결막내멍|그루브멍|시크코알라|포근양|첫인사토끼|막내카리스냥,명함,mjʌŋham,"건넬 땐 두 손으로, 받을 땐 눈을 맞추며. 종이 한 장에 한 사람의 하루와 자긍심이 가만히 압축된다. 이름과 직함 사이 좁은 여백에, 그날의 첫인상이 살며시 깃든다."
ICON-0033,표지,문구,소장템,호주여우|캣라인|보컬캣|카리스마독수리|연기멍|모찌점프토끼|별빛햄찌|댄스멍|돼끼비트|푸들웅|런웨이오리|우사네코냥,표지,pʰjodʑi,"이야기의 가장 바깥에서, 비바람을 먼저 맞아 준다. 안의 글자를 지키느라 제 모서리부터 닳아 간다. 펼치기 직전의 잠깐 그 설렘은, 늘 이 한 장에서 먼저 시작된다."
ICON-0034,교재,문구,소장템,흰범|선택호랑|지목늑대|별빛멍|입술참새|불범|보컬멍|숨결멍|온기오리|키키기린|런웨이다람|스텝여우,교재,kjodʑɛ,"밑줄과 형광펜으로 한 사람의 분투가 빼곡히 적혀 있다. 새 책일 땐 막막하다가, 다 보면 가장 든든한 친구가 된다. 모르던 걸 알게 된 흔적이, 페이지마다 곱게 접혀 있다."
ICON-0035,댄스패스,공연,소장템|문서|패스,갭댄스멍|노블라마|갈색곰|얼음볕|솜수달|단정범|건스키늑대|작곡멍|리더늑대|숨결토끼|런웨이사막여우|하모니곰,댄스패스,tɛnsɯpʰɛsɯ,"이 한 장이 연습실 문을 활짝 연다. 거울 가득한 방, 발 구르는 소리, 처음 배우는 8박. 춤이 아직 서툴러도 괜찮다고, 작은 종이 한 장이 떨리는 등을 가만히 떠민다."
ICON-0036,서류철,자원|문구,소장템|문서|서류|종이,정석냥|장면삐약|소프트알파카|모래볕|샤인수달|단정노루|무대개굴|막내스텝다람|햇살토끼|브리즈토끼|런웨이냥|티요넨토끼,서류철,sʌɾjutɕʰʌl,"낱장으로 떠돌던 종이들이 한 등뼈에 가지런히 꿰여, 비로소 순서를 얻는다. 순서가 생기면 이야기가 되고, 두꺼워질수록 누군가 그만큼 차곡차곡 살아냈다는 다정한 증거가 된다."
ICON-0037,시험지,문구,소장템,노블오랑우탄|숨결뱀|미소볼|막내삐약|호흡너굴|샛별노루|베이스쥐|관찰냥|햇살병아리|젤리보물토끼|온기개굴|하모니곰,시험지,sihʌmdʑi,"빈 줄 위에서 잠깐 떨리는 손끝. 정답보다 무서운 건, 모르는 것과 정면으로 마주하는 일이다. 채점이 끝나면 틀린 자리마다, 다음에 자라날 여백이 가만히 남는다."
ICON-0038,알파벳A,문구,소장템,온기멍|창문깜냥|미소볼|막내삐약|모티프토끼|꿈멍|청량토끼|루미병아리|온기여우|키키기린|글로우멍|브리즈냥,알파벳A,alpʰabet,"입을 크게 벌려야 비로소 나오는 첫 소리. 줄의 맨 앞, 이름의 맨 처음에 자주 서 있다. 무엇이든 시작할 땐 이 글자부터라서—그래서 늘 조금 더 용감하다."
ICON-0039,알파벳D,문구,소장템,달빛냥|마토깃토끼|소프트알파카|햄찌|스텝범|꿈삐약|합주멍|소리삐약|리더토끼|푸들웅|햇살볼|모티프치타,알파벳D,alpʰabet,"부드럽게 휘어진 등으로 단어를 살며시 받친다. 둥근 한쪽이 누군가의 이름 끝에 단정히 매달린다. 화려하진 않아도 빠지면 허전한, 알파벳 속 조용한 곁 하나."
ICON-0040,연습지,공연,소장템,환생멍|렌즈곰|지목늑대|대왕햄승|글로우늑대|보컬삐약|스파크냥|관찰냥|루미노루|늑끼리더|리더삐약|폭스디여우,연습지,jʌnsɯpdʑi,"틀려도 괜찮은, 세상에 단 하나뿐인 종이. 같은 동작을, 같은 문장을, 수십 번 다시 적게 해 준다. 구겨져 버려진 장수만큼, 누군가는 분명히 더 나아지고 있었다."
ICON-0041,작곡지,공연,소장템,스텝토끼|웃음곰|보컬밤비|청량햄찌|구구광|단정멍|베이스쥐|흰웃쿼카|돼끼비트|아이디어늑대|콩알볼|스텝빛멍,작곡지,tɕakɡokdʑi,"새벽 두 시, 흥얼거림 하나가 잠을 깨운다. 연필이 오선지 위에서 멈칫거리는 건 멜로디가 손보다 빠르기 때문. 지웠다 적은 자국마다, 아직 이름 없는 노래가 조금씩 자라고 있다."
ICON-0042,출입패스,문구,소장템|문서|패스,베이비프로그|숨결뱀|마이크늑대|폭스모래여우|쪼코푸들|텐션곰|작은손천사햄|소리펭|비트사슴|글로우여우|소프트펭|받침기둥곰,출입패스,tɕʰulippʰɛsɯ,"목에 거는 순간, 평범한 복도가 다른 세계로 바뀐다. 케이블이 어둠 속을 뱀처럼 가로지르고, 무대 너머에선 들리지 않는 카운트다운이 시작된다. 여기 들어설 자격은, 이 한 장이 대신 말해 준다."
ICON-0043,콘택트시트,공연,소장템,환생멍|누룽상어|힘센늘보|무술냥|흰여우|해피볼멍|훈고양이|단정다람|막내여우|키키기린|단풍볼|티라노듀,시트,sitʰɯ,"작은 칸마다 다른 표정이 멈춰 서 있다. 웃다, 돌아보다, 눈을 감다. 한 컷씩 짚어 가면 셔터를 누르던 그날의 두근거림이 손끝으로 되돌아온다. 한 장을 고르는 일조차, 이미 기록이다."
ICON-0044,콜시트,공연,소장템,달빛멍|니코캣런|보컬밤비|무술판다|벚꽃솔|소프트멍|미소멍|호흡햄찌|라이언|칩물결수달|첫인사토끼|근육멍,시트,sitʰɯ,"내일 몇 시, 어디서, 무엇을. 종이 한 장이 하루치 동선을 미리 그려 둔다. 분 단위로 빼곡한 칸들 사이, 누군가는 여기 적힌 순서를 따라 한 발씩 꿈 쪽으로 걸어간다."
ICON-0045,택,문구,소장템,노블오랑우탄|브리즈병아리|동선곰|온기한빈여우|다채멍|스파크범|갈기루미사자|첫눈곰|비트사슴|숨결다람|첫인사토끼,택,tʰɛk,"가격표 뒤편엔 만든 이의 시간이 조용히 매달려 있다. 톡 떼어내는 그 짧은 손짓에야 비로소 내 것이 되는 작은 종이. 잘린 자리에 남는 건 새것 냄새와, 설렘 한 줌이다."
ICON-0046,포트폴리오,문구,소장템,봄날멍|또렷막내멍|보컬캣|폭스모래여우|긍정토끼|꿈햄|세이노루|댄스멍|온기오리|벌룬범|비트뱁새|삐죽오리,포트폴리오,pʰotʰɯpʰolɾio,"표지를 넘기면 지나온 길이 한꺼번에 펼쳐진다. 자신 있는 한 장 옆에, 서툴렀던 첫 도전이 부끄럽게 나란히. 누군가에게 나를 처음 건넬 때, 이보다 솔직한 자기소개는 없다."
ICON-0047,플래너,문구,소장템,인사토끼|등대여우|장면멍|발랄여우|솜다람|꿀성햄찌|흰늑대|둥글펭|리더코알라|스팟강아지|소프트펭|숨결중심냥,플래너,pʰɯlɾɛnʌ,"오늘을 적고, 다음 주를 그리고, 가끔은 한 칸을 까맣게 칠한다. 계획대로 된 적 없어도 칸을 채우는 손은 멈추지 않는다. 미래를 한 번 미리 살아 보는, 작은 의식 같은 것."
ICON-0048,플레이리스트,공연,소장템,호주여우|별빛오리|책곰|모래볕|글램뱀|파란편지멍|드럼범|댄스멍|양털곰|캡틴가시|든든멍|돌기억가시,플레이리스트,pʰɯlɾeiɾisɯtʰɯ,"느린 곡과 빠른 박자 사이, 그날 마음의 날씨에 맞춰 노래를 한 줄로 세운다. 누군가의 하루가 꼭 이 순서대로 흘러간다고 생각하면, 곡 사이의 정적마저 다정해진다."
ICON-0049,학생증,문구,소장템,둥근보컬햄|사과곰|숨결토끼|하모니펭|꽃사슴|파란편지멍|별빛토끼|글로우범|막내사막여우|크루리듬냥|런웨이오리|인사식냥,학생증,haksɛŋdʑɯŋ,"이름과 사진, 그리고 숫자 몇 개. 교실과 연습실 사이를 오가던 시절을 증명하는 한 장. 모서리가 닳도록 주머니를 드나든 카드엔, 다시 못 올 풋풋한 매일이 박혀 있다."
ICON-0050,팔찌,패션,소장템,둥근보컬햄|노블라마|래빗펀치|장면곰|입술참새|보컬결곰|햇살늑대|메인토끼|온기중심멍|네크타르숨멍|리듬멍|망고강아지,팔찌,pʰaltɕ͈i,"그날의 색을 손목에 묶던 순간을 기억해? 같이 외친 구호, 함께 젖은 콘서트의 밤. 끈이 닳고 색이 바래도 풀지 않는 건, 그 여름을 손목 위에 계속 살게 하고 싶어서다."
ICON-0051,완장,패션,소장템,시골멍|캣라인|책곰|포근범|붉은여우|도토리솔|안정곰|글로우토끼|햇살토끼|다이아냥|런웨이다람,완장,wandʑaŋ,"팔에 두르는 순간, 책임이라는 무게가 슬며시 더해진다. 줄 맨 앞에 서고, 자리를 가장 늦게 뜨는 사람의 표식. 천 한 조각이 누군가를 한 뼘쯤 더 자라게 한다."
ICON-0052,링,패션,소장템|연결|링,두부물개|마이크곰|동선수달|단정냥|텐션오리|콩알소원멍|숨결늑대|리더노루|햇살토끼|꼬리비트멍|든든멍|햇살폭스,링,ɾiŋ,"끊긴 데 없이 둥글게 이어진 한 줄. 시작과 끝이 닿아 있어, 사람들은 여기서 영원의 모양을 본다. 두 손을 가만히 잇대면 말보다 먼저, 약속이 형태로 남는다."
ICON-0053,훈장,패션,소장템,포근들소|인사개굴|스윙토끼|늑대|숨결여우|도토리솔|폭스여우|멜로사슴|스파크돌고래|청청수달|햇살볼|햇살폭스,훈장,hundʑaŋ,"가슴에 단 작은 쇳조각엔 견뎌 낸 날들이 새겨져 있다. 반짝이는 건 금속이 아니라, 그 뒤에 숨은 수많은 연습의 밤. 자랑보다 먼저 차오르는 건, 어쩐지 고마운 마음이다."
ICON-0054,앞치마,패션,소장템,신사코알라|사과곰|별빛냥|스텝냥|소통천재|위트돌핀|루미여우|글로우토끼|노블햄찌|멜로펭귄|스윙노루|스텝빛멍,앞치마,aptɕʰima,"목에 끈을 묶으면 두 손이 자유로워진다. 밀가루든 물감이든, 무언가에 푹 빠질 채비가 된다는 신호. 얼룩이 한 점씩 늘어 갈수록, 그날 쏟은 정성도 함께 진해진다."
ICON-0055,귀후드,패션,소장템,흰범|저음늘보|보컬밤비|숨결준호멍|왕관여우|스파크범|보컬멍|호흡수달|스텝오리|메인보컬늑대|런웨이냥|숨결햄,귀후드,kyhudɯ,"귀를 폭 감싸면 바깥 소리가 한 발 멀어진다. 칼바람 부는 등굣길, 보송한 안쪽으로 살짝 숨어드는 작은 도피처. 겨울의 따뜻함은 가끔, 이렇게 귀끝에서부터 시작된다."
ICON-0056,의상,패션,소장템,둥근보컬햄|깜장지냥|호흡멍|카리스마독수리|막내코끼리|글로우곰|왕자토끼|흰웃쿼카|여유라마|말티왕자멍|끼멍|스위치여우,의상,ɰisaŋ,"막이 오르기 전, 옷걸이에 걸린 채 숨죽인 한 벌. 솔기 하나하나에 안무가 접혀 있다. 팔을 꿰는 순간 사람은 배역이 되고, 무대는 그 옷의 두 번째 피부가 된다."
ICON-0057,왕관,패션,소장템,베이비호랑|온화보컬토끼|보컬폭스|토끼|배우멍|청량여우|씰윤물개|그루브멍|스윙냥|글로우여우|첫빛삐약|인사식멍,왕관,waŋɡwan,"머리에 얹는 순간, 굽었던 등이 저절로 곧게 펴진다. 황금빛은 권력보다 책임을 먼저 속삭인다. 이마에 닿는 서늘한 무게가 말해 준다. 빛나는 자리일수록 더 무겁다고."
ICON-0058,망토,패션,소장템,시골멍|깜장지냥|드럼멍|쫑긋볕|입술참새|든든소원멍|코지범|하이톤늑대|코지냥|아이디어늑대|단풍볼|스텝여우,망토,maŋtʰo,"어깨에 두르면 등 뒤로 바람이 펄럭인다. 달릴 때마다 한 폭 자락이 뒤따라오는 그 기분. 영웅의 표식이라기보다, 그저 멋있고 싶었던 어린 마음에 더 가깝다."
ICON-0059,가면,패션,소장템,밝은보컬멍|해피멍|드럼멍|무술판다|글로우늑대|콩알소원멍|고음토끼|노블코알라|스파크돌고래|늑끼리더|렌즈사슴|폭스라마,가면,kamjʌn,"얼굴을 가리면 오히려 솔직해진다. 탈 뒤에서 마음껏 웃고 울던 옛 마당놀이처럼. 감춘 표정 너머로, 평소엔 삼키던 진짜 목소리가 더 크게 새어 나온다."
ICON-0060,립스틱,패션,소장템,승환리트리버|팬싸멍|센터실루냥|온기한빈여우|성벽곰|꼬마양|씰윤물개|포근볼|비트냥|벌룬범|리듬멍|하모니곰,립스틱,ɾipsɯtʰik,"뚜껑을 돌려 한 획 그으면 입가에 작은 결심이 선다. 거울 앞 마지막 점검, 망설임 위로 덧칠하는 붉은 한 줄. 색이 입혀지는 그 짧은 순간, 두려움은 슬그머니 자리를 비킨다."
ICON-0061,재킷,패션,소장템,코지멍|티렉스담|래빗펀치|햄찌|스텝범|소프트멍|작은손천사햄|막내폭스|지혜올빼미|전환여우|별꼬리|스텝빛멍,재킷,tɕɛkʰit,"어깨선이 딱 맞아떨어질 때, 사람은 조금 단단해진다. 소매를 걷으면 일할 마음, 깃을 세우면 나설 마음. 한 벌이 그날 하루의 자세를 가만히 정해 준다."
ICON-0062,태권도띠,패션,소장템,꽃노루|비트발끝냥|보컬폭스|포근범|연기다람|도토리솔|별빛토끼|기타펭|루미냥|샤인노루|꼬마호랑이|환영멍,띠,t͈i,"색이 한 단계 바뀔 때마다, 그 아래 쌓인 땀의 양도 달라진다. 매듭을 졸라매고 절을 올리던 도장의 아침. 띠를 묶는 손끝으로, 흩어졌던 정신이 다시 모인다."
ICON-0063,고글,패션,소장템,명음호랑|등대여우|안부토끼|막내멍|비트삐약|청음멍|안래빗|글로우범|코지냥|벌룬범|샤인돌고래|브리즈냥,고글,koɡɯl,"눈앞에 쓰면 세상이 한 톤 또렷해진다. 바람도 먼지도 막아 주는 둥근 방패 너머로, 늘 걷던 평범한 길마저 어쩐지 출발선처럼 반짝여 보인다."
ICON-0064,글러브,패션,소장템,포근범곰|티렉스담|귀염수달|사슴왕자|비트토끼|꿀성햄찌|코기랩멍|호흡수달|삐약|스팟고양이|별꼬리|우사네코토끼,글러브,kɯlɾʌbɯ,"손에 끼면 무엇이든 단단히 붙잡을 용기가 솟는다. 떨어뜨릴까 움츠리던 손가락이, 비로소 활짝 펴진다. 지키는 건 손이지만 정작 지켜지는 건, 그다음에 올 도전이다."
ICON-0065,마스크,패션,소장템,인사토끼|스윙멍|코알라책|별빛냥|소통천재|리더폭스|말티연|막내폭스|막내사막여우|고음사슴|첫목기린|우사네코냥,마스크,masɯkʰɯ,"입가를 덮으면 눈이 더 많은 말을 한다. 사람 북적이는 거리에서, 살짝 가린 채 누리는 작은 익명의 자유. 그래서 다 떼어낸 자리에 남는 미소가, 더 환하게 번진다."
